Автономная некоммерческая организация "Институт перспективных научных исследований";Autonomous non-profit organization "Institute for Advanced Scientific Research"
Автономная некоммерческая организация "Институт религиозных и социальных исследований";Autonomous non-profit organization "Institute for Religious and Social Studies"
Автономная некоммерческая организация "Национальный институт развития";Autonomous Non-Profit Organization "National Development Institute"
Аграрный научный центр "Донской";Agrarian Scientific Center "Donskoy"
Агрофизический научно-исследовательский институт Российской академии сельскохозяйственных наук;Agrophysical Research Institute of the Russian Academy of Agricultural Sciences
Адлерская опытная станция Всероссийского научно-исследовательского института растениеводства им. Н.И. Вавилова Российской академии сельскохозяйственных наук;Adler Experimental Station of the N.I. Vavilov All-Russian Research Institute of Plant Industry of the Russian Academy of Agricultural Sciences
Адыгейский государственный университет;Adygeya State University
Адыгейский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Adygeya Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Акционерная холдинговая компания "Всероссийский научно-исследовательский и проектно-конструкторский институт металлургического машиностроения имени академика Целикова";Joint Stock Holding Company "All-Russian Research and Design Institute of Metallurgical Engineering named after Academician Tselikov".
Алексеевская опытная станция Всероссийского научно-исследовательского института масличных культур имени B.C. Пустовойта Российской академии сельскохозяйственных наук;Alekseevskaya Experimental Station of the All-Russian Research Institute of Oilseed Crops named after B.C. Pustovoit of the Russian Academy of Agricultural Sciences
Алтайский государственный технический университет им. И.И. Ползунова;Altai State Technical University named after I.I. Polzunov.
Алтайский государственный университет;Altai State University
Алтайский научно-исследовательский институт животноводства и ветеринарии Российской академии сельскохозяйственных наук;Altai Research Institute of Animal Husbandry and Veterinary Science of the Russian Academy of Agricultural Sciences
Алтайский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Altai Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Амурский государственный университет;Amur State University
Амурский научный центр Дальневосточного отделения Российской академии наук;Amur Scientific Center of the Far Eastern Branch of the Russian Academy of Sciences
Анапская зональная опытная станция виноградарства и виноделия Северо-Кавказского зонального научно-исследовательского института садоводства и виноградарства Российской академии сельскохозяйственных наук;Anapa Zonal Experimental Station of Viticulture and Winemaking of the North Caucasus Zonal Research Institute of Horticulture and Viticulture of the Russian Academy of Agricultural Sciences
Ангарский государственный технический университет;Angarsk State Technical University
Арктический государственный институт культуры и искусств;Arctic State Institute of Culture and Arts
Арктический и антарктический научно-исследовательский институт;Arctic and Antarctic Research Institute
Армавирская опытная станция Всероссийского научно-исследовательского института масличных культур имени B.C. Пустовойта Российской академии сельскохозяйственных наук;Armavir Experimental Station of the All-Russian Research Institute of Oilseeds named after B.C. Pustovoit of the Russian Academy of Agricultural Sciences
Архангельский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Arkhangelsk Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Архив Российской академии наук;Archive of the Russian Academy of Sciences
Астраханская опытная станция Всероссийского научно-исследовательского института растениеводства имени Н.И. Вавилова Российской академии сельскохозяйственных наук;Astrakhan Experimental Station of the All-Russian Research Institute of Plant Industry named after N.I. Vavilov of the Russian Academy of Agricultural Sciences
Астраханский государственный университет;Astrakhan State University
Ачикулакская научно-исследовательская лесная опытная станция Всероссийского научно-исследовательского института агролесомелиорации Российской академии сельскохозяйственных наук;Achikulak Research Forest Experimental Station of the All-Russian Research Institute of Agroforestry of the Russian Academy of Agricultural Sciences
Байкальский государственный университет;Baikal State University
Байкальский институт природопользования Сибирского отделения Российской академии наук;Baikal Institute of Nature Management of the Siberian Branch of the Russian Academy of Sciences
